evolution rate,length lived,species population time,population
0.271667,49,94,1
0.155,64,191,2
0.26,81,251,3
0.318333,96,211,2
0.33,122,855,7
0.283333,135,950,7
0.178333,151,435,2
0.05,292,1705,5
0.225,328,5713,17
0.19,399,3597,9
0.169572,69,98,1
0.061667,501,35632,71
0.12,501,16789,33
0.113147,31,39,1
0.381125,83,203,2
0.235905,416,20304,48
0.24809,93,210,2
0.360897,749,56091,74
0.194163,87,92,1
0.351362,104,110,1
0.148033,405,26230,64
0.154544,179,1932,10
0.218925,182,1132,6
0.203492,1718,148398,86
0.295337,972,50777,52
0.145153,280,9575,34
0.212603,71,91,1
0.271604,56,97,1
0.264682,101,136,1
0.391089,125,509,4
0.125235,66,106,1
0.103463,526,55157,104
0.219838,34,149,4
0.265637,73,107,1
0.064852,242,836,3
0.06553,215,15938,74
0.224757,2133,119947,56
0.166716,499,32549,65
0.313778,228,5659,24
0.188123,1464,104760,71
0.05537,270,12802,47
0.160827,117,1525,13
0.257589,71,93,1
0.101856,98,106,1
0.180462,842,62899,74
0.308934,142,1058,7
0.074989,498,37085,74
0.280529,232,1642,7
0.251387,123,238,1
0.398356,126,392,3
0.165147,72,1074,14
0.360844,530,10124,19
0.14552,176,1439,8
0.215814,78,88,1
0.255891,862,38923,45
0.241343,143,340,2
0.367073,118,256,2
0.349719,158,440,2
0.09403,154,7811,50
0.204241,2206,171462,77
0.376381,304,25891,85
0.216072,52,90,1
0.127102,94,576,6
0.171625,61,96,1
0.221792,795,41536,52
0.063231,484,19131,39
0.148119,158,335,2
0.301139,292,1866,6
0.289934,443,24895,56
0.058922,206,15916,77
0.387741,99,216,2
0.281084,78,225,2
0.203138,150,311,2
0.17178,83,211,2
0.242422,85,164,1
0.385982,85,140,1
0.266618,100,160,1
0.354957,261,4823,18
0.19111,4001,382252,95
0.233835,1341,77449,57
0.134281,339,18614,54
0.318333,46,90,1
0.353333,50,97,1
0.166667,52,188,3
0.283333,53,94,1
0.05,55,188,3
0.388333,57,108,1
0.143333,58,192,3
0.33,60,242,4
0.341667,61,146,2
0.201667,62,109,1
0.26,63,154,2
0.376667,64,157,2
0.295,69,196,2
0.306667,71,250,3
0.19,95,226,2
0.131667,97,341,3
0.365,100,335,3
0.213333,109,201,1
0.178333,113,308,2
0.236667,125,360,2
0.271667,133,964,7
0.108333,137,1314,9
0.061667,141,582,4
0.096667,142,256,1
0.248333,145,339,2
0.073333,149,6039,40
0.225,168,1971,11
0.155,188,427,2
0.085,211,22242,105
0.12,211,18379,87
0.294748,282,4908,17
