evolution rate,geometric mean length lived,geometric mean species population time
0.05,113.78927893259541,3542.0434779940238
0.053,106.0,7627.000000000003
0.054,235.0,15497.999999999998
0.055,499.0,28886.000000000015
0.057,464.06680553558226,32556.421747483233
0.059,473.00000000000006,32157.00000000001
0.06,507.920269333682,91509.27952945538
0.069,499.9999999999999,31724.0
0.071,498.00000000000006,53048.00000000002
0.072,347.0,12752.000000000002
0.081,498.00000000000006,309862.99999999977
0.083,592.0,55006.999999999985
0.09,498.00000000000006,64688.000000000015
0.092,499.0,88482.0
0.093,351.99999999999994,51839.999999999985
0.106,499.9999999999999,127365.00000000003
0.11,999.0,97999.99999999997
0.111,498.00000000000006,25929.000000000007
0.112,499.9999999999999,164616.0000000001
0.113,499.9999999999999,91578.99999999999
0.116,499.0,92329.00000000001
0.119,134.0,234.0
0.12,499.9999999999999,56051.00000000001
0.123,499.0,67034.99999999999
0.124,780.0000000000001,33540.0
0.127,93.0,170.0
0.13,490.00000000000006,32980.99999999999
0.135,301.0,13516.000000000005
0.138,311.0,17070.0
0.146,466.0000000000001,34305.000000000015
0.153,312.00000000000006,12999.0
0.163,318.0,2707.0000000000005
0.168,415.64241144387654,18515.00764965369
0.17,264.0,5175.0
0.171,1046.0,157719.99999999994
0.173,999.0,241287.99999999997
0.184,526.0000000000001,14856.000000000004
0.185,270.0,10912.999999999998
0.202,56.00000000000001,151.0
0.208,62.48199740725323,112.46777316191515
0.209,107.11589620036679,489.99272514535994
0.214,72.0,92.0
0.216,497.0,122447.99999999999
0.217,869.9999999999998,49493.00000000001
0.22,93.0,136.0
0.236,1629.0000000000002,107558.99999999994
0.24,62.0,87.0
0.244,313.99999999999994,4555.999999999999
0.249,645.0,27583.999999999993
0.251,74.0,93.0
0.257,1619.0000000000005,218650.0
0.259,476.99999999999994,15020.999999999998
0.263,1500.0,195828.99999999994
0.267,996.9202575933542,135055.6878920691
0.292,2498.9999999999995,242817.99999999997
0.301,498.00000000000006,97887.00000000003
0.307,107.0,583.0
0.308,270.0,1214.9999999999998
0.315,499.9999999999999,86903.99999999997
0.326,91.0,101.0
0.331,67.0,340.99999999999994
0.336,150.0,1200.0
0.365,80.0,283.0
0.374,537.0,19612.000000000004
