evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,499.0,32553.0
0.051,999.0,58732.0
0.055,485.5,54065.0
0.061,498.0,36046.0
0.064,786.0,51961.0
0.068,609.0,65860.0
0.073,999.0,40163.0
0.076,494.0,3495.0
0.077,646.0,22272.0
0.081,463.0,50056.5
0.085,285.0,16711.0
0.094,431.0,32598.666666666668
0.097,500.0,84733.0
0.098,362.5,11159.5
0.099,500.0,34245.0
0.106,499.0,58787.0
0.108,401.0,106695.0
0.11,245.0,14885.0
0.111,1042.0,60478.0
0.125,498.0,80823.0
0.128,108.0,289.0
0.147,266.0,1275.0
0.15,450.0,66512.0
0.154,498.0,225406.0
0.158,922.0,68455.0
0.16,499.0,18585.0
0.162,142.0,629.0
0.163,499.0,30992.0
0.164,168.0,6385.0
0.169,73.0,146.0
0.174,751.0,41627.0
0.175,66.0,84.0
0.182,128.0,336.0
0.191,1999.0,181330.0
0.194,490.0,22103.0
0.196,998.0,69955.0
0.197,908.0,63665.5
0.206,455.0,10683.0
0.21,529.0,23939.0
0.217,655.0,75422.0
0.219,131.0,241.0
0.224,356.0,10249.5
0.225,1526.0,279265.0
0.228,597.0,120826.0
0.244,79.0,202.0
0.252,998.0,81210.0
0.253,121.0,897.0
0.254,84.0,104.0
0.277,1090.0,74750.0
0.286,105.0,276.0
0.296,188.0,3761.0
0.297,78.0,99.0
0.302,115.0,247.0
0.307,50.0,134.0
0.316,254.0,10332.0
0.323,209.0,1088.0
0.331,670.5,47697.5
0.334,362.0,20866.0
0.349,132.0,206.0
0.369,293.5,23418.0
0.37,867.0,122615.0
0.373,173.0,882.0
0.385,90.0,138.0
0.387,102.0,206.0
0.392,192.0,1701.0
0.395,150.0,391.0
0.397,125.0,427.0
0.399,60.0,131.0
