evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,318.6666666666667,50640.666666666664
0.051,499.0,59587.0
0.052,478.6666666666667,89297.0
0.054,499.0,142774.0
0.055,464.5,68750.0
0.056,154.33333333333334,7994.0
0.058,342.0,19852.333333333332
0.059,196.0,4719.0
0.061,574.0,65550.0
0.062,630.0,25946.0
0.063,257.0,20594.0
0.065,256.3333333333333,18859.666666666668
0.066,666.5,62643.0
0.068,615.0,62075.0
0.069,999.0,111511.0
0.071,509.0,62272.0
0.072,612.3333333333334,57940.0
0.073,209.66666666666666,8219.666666666666
0.074,304.0,15576.666666666666
0.075,519.5,54022.5
0.077,998.5,128894.0
0.078,507.0,42155.0
0.079,499.0,38162.0
0.081,52.0,79.0
0.082,762.5,44245.0
0.083,500.0,54892.0
0.085,535.3333333333334,40568.333333333336
0.086,221.5,3041.0
0.088,499.0,87088.0
0.089,496.0,31895.666666666668
0.09,290.0,19487.0
0.092,499.0,40646.0
0.093,169.0,14517.0
0.094,324.0,15435.0
0.095,500.0,106977.0
0.097,526.5,28734.5
0.098,279.0,17993.0
0.099,126.0,22198.0
0.1,362.0,29602.0
0.101,442.0,38679.0
0.103,153.0,9951.0
0.105,273.0,33714.0
0.106,475.6666666666667,32482.333333333332
0.108,353.75,17351.0
0.109,480.3333333333333,74730.66666666667
0.11,499.0,37609.0
0.113,383.0,29605.0
0.114,160.0,8020.5
0.115,441.5,24279.5
0.116,290.0,15364.5
0.117,122.0,1475.3333333333333
0.118,499.0,56410.0
0.12,298.0,16490.25
0.121,499.0,23232.0
0.123,468.0,66832.5
0.124,1498.0,148361.0
0.125,140.0,4794.0
0.127,499.5,74200.0
0.128,843.0,42886.0
0.129,942.0,88829.0
0.13,260.5,18233.0
0.132,221.14285714285714,9606.857142857143
0.133,585.0,55835.0
0.134,301.5,30102.0
0.135,480.0,52560.0
0.136,519.0,106164.0
0.137,1000.0,64631.0
0.138,103.0,1509.0
0.139,587.6666666666666,114129.0
0.141,372.5,89991.5
0.142,499.0,125630.0
0.143,192.5,11262.75
0.144,113.0,157.0
0.145,499.0,83980.0
0.146,288.5,54822.0
0.147,51.0,92.0
0.148,270.0,10692.0
0.149,223.0,14145.0
0.151,499.0,68000.0
0.152,154.0,7285.0
0.155,174.25,5619.5
0.156,77.0,142.0
0.157,85.0,256.5
0.158,292.75,47896.0
0.16,499.0,164540.0
0.161,203.0,13890.5
0.162,498.0,45347.0
0.164,57.0,92.0
0.165,58.0,140.0
0.166,62.5,150.5
0.167,251.0,11229.833333333334
0.17,148.0,1328.0
0.171,82.0,172.33333333333334
0.172,484.0,31764.0
0.173,406.57142857142856,45138.857142857145
0.174,103.0,164.0
0.175,354.0,7840.0
0.176,126.0,2910.0
0.177,535.0,27614.0
0.178,85.4,677.8
0.18,1860.0,121365.5
0.181,52.0,54.0
0.183,444.0,23273.0
0.184,83.5,125.5
0.185,426.0,10945.0
0.186,217.0,854.0
0.187,205.0,660.0
0.188,101.0,548.0
0.19,872.8,114826.0
0.192,78.0,180.5
0.193,467.0,9838.5
0.196,61.0,101.0
0.197,95.0,236.0
0.198,233.33333333333334,6727.333333333333
0.201,217.0,1291.0
0.202,103.16666666666667,442.8333333333333
0.203,83.0,175.0
0.206,73.0,127.5
0.208,72.33333333333333,104.0
0.212,73.0,133.0
0.213,73.25,181.75
0.214,2225.5,302074.5
