timestamp,interval_seconds
1770867843.341571,2.572939
1770867847.145233,3.815998
1770867850.691389,3.546311
1770867853.232222,2.540889
1770867855.818044,2.585820
1770867856.877829,1.059747
1770867858.114028,1.236212
1770867858.943576,0.829536
1770867865.462371,6.518846
1770867870.848530,5.378072
1770867872.296105,1.455722
1770867876.115833,3.819777
1770867880.032320,3.916499
1770867883.272808,3.240568
1770867884.359131,1.078060
1770867892.065928,7.715129
1770867894.625338,2.559422
1770867895.589968,0.964598
1770867901.519954,5.930066
1770867903.082812,1.562909
1770867906.421540,3.338705
1770867908.127118,1.705608
1770867912.269781,4.142712
1770867915.693865,3.423972
1770867921.293650,5.599936
1770867925.915962,4.622395
1770867928.364597,2.448590
1770867930.906853,2.542297
1770867932.466512,1.559649
1770867935.469379,3.002939
1770867937.747828,2.278401
1770867939.309779,1.561968
1770867941.164485,1.854723
1770867943.950926,2.786469
1770867946.629281,2.678382
1770867947.849175,1.219935
1770867951.965965,4.116841
1770867955.198674,3.232674
1770867956.591865,1.393212
1770867961.682247,5.090401
