evolution rate,arithmetic mean length lived,arithmetic mean species population time
0.05,491.5217391304348,47639.796273291926
0.051,474.71238095238095,49386.65142857143
0.052,469.7429078014184,47260.12056737589
0.053,475.8188277087034,48339.38543516874
0.054,475.11371237458195,46592.00501672241
0.055,452.87544483985766,44888.93772241993
0.056,473.2894736842105,48260.57330827068
0.057,468.54745762711866,47333.952542372885
0.058,481.1675675675676,46211.933333333334
0.059,455.8503401360544,43810.051020408166
0.06,483.01384083044985,45472.74740484429
0.061,458.27807486631013,46936.92513368984
0.062,493.8804347826087,47711.941699604744
0.063,480.6421052631579,48255.42456140351
0.064,467.3605769230769,46003.216346153844
0.065,475.20344827586206,45963.90172413793
0.066,448.4851657940663,44053.31588132635
0.067,460.39233576642334,47986.640510948906
0.068,462.66610169491526,47613.913559322034
0.069,488.7752808988764,47262.35018726592
0.07,462.32465277777777,46655.59027777778
0.071,453.31095406360424,41698.31978798586
0.072,475.59552495697073,48464.41996557659
0.073,495.5615212527964,50480.5615212528
0.074,438.8758865248227,44043.895390070924
0.075,475.16871704745165,50644.0
0.076,474.7632933104631,44631.69125214408
0.077,460.4220779220779,48186.98376623377
0.078,472.93565217391307,48280.26782608696
0.079,468.4890909090909,48670.60181818182
0.08,467.90845070422534,48122.295774647886
0.081,487.30434782608694,51480.184347826085
0.082,453.8188679245283,49792.72641509434
0.083,468.33952702702703,46137.51351351351
0.084,460.7121212121212,44887.818181818184
0.085,508.61123110151186,53346.521598272135
0.086,476.82960413080895,48333.51807228916
0.087,457.61347517730496,46597.145390070924
0.088,470.00868055555554,47350.151041666664
0.089,467.70671378091873,48452.787985865725
0.09,481.1025641025641,46991.86080586081
0.091,472.6114864864865,50326.46452702703
0.092,478.0722135007849,49053.12244897959
0.093,462.59240069084626,47180.05872193437
0.094,470.765625,50521.649305555555
0.095,467.9159212880143,45168.23792486583
0.096,472.00716845878134,46971.220430107525
0.097,531.2545691906005,52705.156657963445
0.098,438.60291438979965,43957.934426229505
0.099,440.42424242424244,45762.72727272727
0.1,470.1894353369763,50750.40983606558
0.101,462.79924953095684,47061.093808630394
0.102,447.18821292775664,44924.380228136884
0.103,452.50280373831777,47489.7046728972
0.104,445.7619926199262,43554.58856088561
0.105,461.69117647058823,48116.74579831933
0.106,465.40881763527057,46505.0621242485
0.107,481.43595041322317,49626.67768595041
0.108,473.46178343949043,46266.13216560509
0.109,456.4726890756302,48035.361344537814
0.11,417.5947136563877,40827.52863436123
0.111,445.4446721311475,43251.151639344265
0.112,464.29896907216494,47558.72783505155
0.113,437.4153543307087,43648.49803149606
0.114,438.7276595744681,44630.28297872341
0.115,469.2551440329218,48879.74074074074
0.116,460.89240506329116,48287.39240506329
0.117,444.7575107296137,44233.877682403436
0.118,452.2611607142857,45276.421875
0.119,446.0574948665298,51582.5954825462
0.12,471.5891891891892,43670.383783783785
0.121,451.4584221748401,42554.055437100214
0.122,468.16067653276957,51832.52431289641
0.123,431.26806526806524,43626.63636363636
0.124,446.0,44728.32378854626
0.125,451.8958785249458,45250.845986984816
0.126,443.6541019955654,44885.946784922395
0.127,438.1438679245283,44106.731132075474
0.128,445.8861985472155,44936.622276029055
0.129,434.6799065420561,44357.03738317757
0.13,421.59558823529414,42571.970588235294
0.131,423.5325,43160.18
0.132,448.6998050682261,44818.88888888889
0.133,442.1530172413793,43230.316810344826
0.134,457.4884792626728,46602.85253456221
0.135,468.4175,51555.5
0.136,447.86997635933807,46048.35697399527
0.137,455.0251889168766,43970.24685138539
0.138,453.31828978622326,45531.510688836104
0.139,452.419689119171,44178.09585492228
0.14,441.6265356265356,43335.23587223587
0.141,435.63443396226415,43049.21698113208
0.142,435.93837535014006,43910.1456582633
0.143,441.1618625277162,37959.019955654105
0.144,428.36528497409324,45504.432642487045
0.145,438.7324675324675,43795.54025974026
0.146,441.8196721311475,44724.52224824356
0.147,432.2814070351759,40919.98994974874
0.148,467.4485294117647,47992.458333333336
0.149,426.10653753026634,42727.537530266345
0.15,428.81592039800995,43121.32338308458
0.151,477.6975476839237,45568.362397820165
0.152,492.7687687687688,47317.444444444445
0.153,591.1597796143251,55711.34435261708
0.154,673.5168831168832,68755.67792207793
0.155,597.3753424657534,55052.304109589044
0.156,610.9021406727828,55171.79204892967
0.157,747.46875,73653.071875
0.158,815.0204778156997,78071.46075085324
0.159,765.6397306397306,73827.79124579125
0.16,774.1478873239437,76944.67605633802
0.161,822.8361774744027,78251.49488054607
0.162,771.874213836478,67204.96855345913
0.163,826.6780821917808,73611.81849315068
0.164,827.26,73432.38
0.165,814.0636704119851,71928.68164794007
0.166,929.6194029850747,85886.12313432836
0.167,927.738255033557,86402.13422818792
0.168,936.2121212121212,90183.69696969698
0.169,863.7325581395348,72152.48449612403
0.17,908.8847736625514,81955.36625514404
0.171,830.1924882629108,74620.68544600939
0.172,972.2008368200837,85966.66945606694
0.173,888.9923954372623,77988.91634980988
0.174,845.6279069767442,77258.55813953489
0.175,853.8478260869565,79642.34782608696
