evolution rate,length lived,species population time,population
0.353333,83,203,2
0.365,85,837,9
0.318333,91,264,2
0.155,92,682,7
0.306667,98,250,2
0.248333,104,837,8
0.166667,135,1298,9
0.236667,294,2770,9
0.05,501,27670,55
0.108333,501,2392,4
0.112609,498,96311,193
0.342262,89,120,1
0.276654,72,149,2
0.341667,1682,73887,43
0.391226,100,306,3
0.310301,69,110,1
0.213756,820,29742,36
0.201951,1488,77757,52
0.14442,16,37,2
0.186115,14,23,1
0.174196,185,684,3
0.117315,43,75,1
0.300855,65,144,2
0.210501,83,116,1
0.325314,109,164,1
0.158614,190,3070,16
0.210947,247,1613,6
0.161561,92,440,4
0.096135,144,5140,35
0.119057,497,30200,60
0.171491,95,103,1
0.391534,111,319,2
0.345398,253,5934,23
0.204936,82,136,1
0.334591,414,9822,23
0.153711,68,772,11
0.338818,68,145,2
0.182474,65,84,1
0.291996,64,94,1
0.113562,525,74194,141
0.191985,1034,73324,70
0.258155,77,188,2
0.172749,272,4208,15
0.302375,103,238,2
0.117953,694,30398,43
0.093186,422,34846,82
0.203398,75,77,1
0.257068,82,139,1
0.188342,113,394,3
0.350259,126,338,2
0.174765,150,262,1
0.373513,153,482,3
0.3635,159,945,5
0.050229,279,39396,141
0.071703,262,14443,55
0.268347,342,20406,59
0.157418,80,584,7
0.100161,76,148,1
0.248707,71,96,1
0.191739,282,8402,29
0.373944,91,155,1
0.301724,435,13649,31
0.064694,205,9959,48
0.248337,71,84,1
0.386475,84,92,1
0.384966,69,102,1
0.220161,43,65,1
0.141536,83,199,2
0.29114,86,101,1
0.381092,126,252,2
0.247194,386,2448,6
0.074498,101,158,1
0.385974,60,95,1
0.285183,87,103,1
0.144906,80,94,1
0.158621,126,210,1
0.206386,37,58,1
0.293923,121,154,1
0.124093,52,92,1
0.34437,79,98,1
0.31577,107,112,1
0.392736,96,153,1
0.166994,73,95,1
0.208305,4001,232191,58
0.27375,3713,203703,54
0.179589,73,216,2
0.155,56,98,1
0.166667,58,137,2
0.213333,61,189,3
0.248333,63,131,2
0.178333,64,182,2
0.26,64,193,3
0.295,64,137,2
0.388333,64,143,2
0.283333,67,193,2
0.376667,69,253,3
0.353333,70,203,2
0.306667,71,159,2
0.12,73,160,2
0.143333,76,256,3
