frame,avg evo,population
0,0.21916666666666668,30
100,0.07333333333333333,641
100,0.19,187,29.17%
100,0.06,265,41.34%
200,0.06166666666666667,205
200,0.06,109,53.17%
200,0.1,51,24.88%
300,0.06166666666666667,144
300,0.06,78,54.17%
300,0.1,35,24.31%
400,0.06166666666666667,233
400,0.1,90,38.63%
400,0.06,117,50.21%
500,0.06166666666666667,165
500,0.1,68,41.21%
500,0.06,84,50.91%
600,0.09666666666666668,126
600,0.07,53,42.06%
600,0.1,70,55.56%
700,0.09666666666666668,107
700,0.07,42,39.25%
700,0.1,64,59.81%
800,0.09666666666666668,143
800,0.1,75,52.45%
800,0.07,63,44.06%
900,0.09666666666666668,162
900,0.07,63,38.89%
900,0.1,81,50.00%
1000,0.09666666666666668,134
1000,0.07,58,43.28%
1000,0.1,72,53.73%
1100,0.1238771817348708,274
1100,0.33,88,32.12%
1100,0.12,176,64.23%
1200,0.1238771817348708,511
1200,0.33,117,22.90%
1200,0.12,389,76.13%
1300,0.1238771817348708,564
1300,0.33,141,25.00%
1300,0.12,422,74.82%
1400,0.1238771817348708,691
1400,0.33,179,25.90%
1400,0.12,512,74.10%
1500,0.1238771817348708,152
1500,0.33,56,36.84%
1500,0.12,92,60.53%
1600,0.23435049520508883,222
1600,0.23,125,56.31%
1600,0.33,82,36.94%
1700,0.23435049520508883,146
1700,0.23,80,54.79%
1700,0.21,38,26.03%
1800,0.21352978592848543,24
1800,0.21,14,58.33%
1800,0.23,8,33.33%
1900,0.21352978592848543,21
1900,0.23,6,28.57%
1900,0.21,14,66.67%
2000,0.21352978592848543,186
2000,0.23,78,41.94%
2000,0.21,87,46.77%
2100,0.21352978592848543,211
2100,0.21,99,46.92%
2100,0.23,90,42.65%
2200,0.21352978592848543,279
2200,0.21,144,51.61%
2200,0.18,65,23.30%
2200,0.23,70,25.09%
2300,0.23435049520508883,24
2300,0.21,8,33.33%
2300,0.23,14,58.33%
2400,0.21352978592848543,344
2400,0.21,192,55.81%
2400,0.23,144,41.86%
2500,0.21352978592848543,44
2500,0.21,21,47.73%
2500,0.23,21,47.73%
2600,0.21352978592848543,23
2600,0.23,9,39.13%
2600,0.21,13,56.52%
2700,0.21352978592848543,13
2700,0.23,5,38.46%
2700,0.21,6,46.15%
2800,0.21352978592848543,46
2800,0.23,13,28.26%
2800,0.21,27,58.70%
2900,0.21352978592848543,285
2900,0.21,150,52.63%
2900,0.12,98,34.39%
3000,0.11905323121818959,189
3000,0.21,79,41.80%
3000,0.12,98,51.85%
3100,0.21352978592848543,508
3100,0.23,217,42.72%
3100,0.21,289,56.89%
3200,0.23435049520508883,170
3200,0.23,86,50.59%
3200,0.21,82,48.24%
3300,0.23435049520508883,139
3300,0.23,71,51.08%
3300,0.21,67,48.20%
3400,0.22394014056678713,126
3400,0.23,63,50.00%
3400,0.21,62,49.21%
3500,0.23435049520508883,154
3500,0.21,68,44.16%
3500,0.23,84,54.55%
3600,0.21352978592848543,114
3600,0.23,51,44.74%
3600,0.21,63,55.26%
3700,0.21352978592848543,166
3700,0.21,83,50.00%
3700,0.23,81,48.80%
3800,0.23435049520508883,159
3800,0.21,73,45.91%
3800,0.23,85,53.46%
3900,0.21352978592848543,169
3900,0.23,74,43.79%
3900,0.21,94,55.62%
4000,0.23435049520508883,116
4000,0.21,55,47.41%
4000,0.23,60,51.72%
4100,0.21352978592848543,159
4100,0.21,81,50.94%
4100,0.23,76,47.80%
