evolution rate,length lived,species population time,population
0.341667,55,227,4
0.318333,59,142,2
0.225,61,293,4
0.365,63,161,2
0.213333,65,145,2
0.248333,65,468,7
0.295,66,252,3
0.143333,67,374,5
0.26,72,238,3
0.271667,73,199,2
0.33,80,601,7
0.155,125,498,3
0.12,165,891,5
0.166667,228,3950,17
0.19,407,28899,71
0.061667,501,71089,141
0.212484,109,259,2
0.234655,86,185,2
0.073333,1001,52407,52
0.096667,1001,67414,67
0.341351,213,987,4
0.077491,360,1146,3
0.332916,90,102,1
0.123877,802,112363,140
0.327521,828,61647,74
0.182715,476,11567,24
0.33818,152,769,5
0.168958,80,111,1
0.119053,411,17159,41
0.283749,67,182,2
0.31485,69,112,1
0.111252,93,141,1
0.244714,82,105,1
0.11572,138,299,2
0.228916,73,83,1
0.054171,59,95,1
0.353184,77,112,1
0.131228,71,95,1
0.357405,86,94,1
0.140781,206,352,1
0.1379,350,3844,10
0.23435,3535,191920,54
0.172719,220,538,2
0.365548,106,164,1
0.21353,4001,235508,58
0.233016,444,17096,38
0.328816,126,441,3
0.061667,46,328,7
0.073333,46,9593,208
0.085,46,411,8
0.108333,46,181,3
0.131667,46,724,15
0.155,46,545,11
0.166667,46,3439,74
0.318333,46,135,2
0.376667,46,90,1
0.236667,47,129,2
0.19,51,146,2
0.33,54,93,1
0.248333,56,94,1
0.213333,59,103,1
0.306667,59,97,1
0.388333,69,120,1
0.341667,71,537,7
0.271667,76,143,1
0.365,85,277,3
0.26,86,190,2
0.353333,86,186,2
0.201667,92,215,2
0.295,100,239,2
0.178333,113,524,4
0.283333,115,698,6
0.096667,252,1653,6
0.05,509,4509,8
0.143333,546,46569,85
0.12,743,6831,9
0.243925,253,3968,15
0.240392,67,187,2
0.346021,99,101,1
0.07815,302,16523,54
0.225,1086,35876,33
0.222395,129,850,6
0.369587,217,1503,6
0.265472,83,201,2
0.066076,499,23058,46
0.13215,139,311,2
0.102922,155,304,1
0.055403,661,30564,46
0.251661,194,1249,6
0.136666,499,39826,79
0.274035,172,723,4
0.062849,266,2444,9
0.105948,157,329,2
0.131101,499,28575,57
0.126407,294,10997,37
0.281277,287,5911,20
0.276837,90,301,3
0.112275,1337,52893,39
0.059395,562,2608,4
0.11397,717,88368,123
0.059752,159,252,1
0.392092,64,107,1
0.101073,546,40461,74
0.176464,119,198,1
0.313644,208,1607,7
0.303147,440,7870,17
0.066683,285,829,2
0.221167,239,1148,4
0.263958,101,111,1
0.35939,612,8014,13
0.199227,63,93,1
0.10334,44,73,1
0.132928,98,100,1
0.066954,112,171,1
0.193816,66,109,1
0.206434,55,82,1
0.100461,90,97,1
0.381621,100,152,1
0.119217,163,396,2
0.181284,4001,240415,60
0.195792,1948,58545,30
0.144727,328,13763,41
0.283333,44,84,1
0.353333,46,87,1
0.236667,55,105,1
0.271667,55,147,2
0.225,56,100,1
0.248333,58,162,2
0.388333,59,152,2
0.131667,60,147,2
0.318333,64,144,2
0.306667,66,147,2
0.201667,67,478,7
0.295,67,386,5
0.143333,68,223,3
0.365,69,208,3
0.376667,73,296,4
0.26,75,227,3
0.12,80,346,4
0.341667,80,216,2
0.108333,84,331,3
0.213333,88,484,5
0.19,90,202,2
0.05,93,396,4
0.33,105,861,8
0.155,116,754,6
0.096667,172,484,2
0.178333,187,5621,30
0.061667,209,15218,72
0.073333,209,25795,123
0.085,209,8711,41
0.166667,209,11013,52
0.37601,99,236,2
0.311728,150,936,6
0.145557,498,74872,150
0.157746,497,6521,13
0.173039,148,351,2
0.068111,254,2158,8
0.379035,126,158,1
0.307401,113,287,2
0.087551,222,16734,75
0.30866,101,136,1
0.259657,79,106,1
0.319415,102,161,1
0.226166,1454,194385,133
0.131676,500,45841,91
0.268449,213,1045,4
0.387029,115,326,2
0.224957,364,12884,35
0.251809,579,14830,25
0.112835,215,5214,24
0.157336,211,543,2
0.153433,609,140028,229
0.100703,309,35928,116
0.353086,66,95,1
0.085334,999,131323,131
0.122537,499,74438,149
0.24966,200,1234,6
0.100177,724,19481,26
0.106925,500,908469,1816
0.095014,499,749452,1501
0.112722,59,92,1
0.388413,146,3069,21
0.151819,499,45772,91
0.370096,591,24032,40
0.39851,96,112,1
0.286916,82,89,1
0.258082,65,78,1
0.125293,499,42619,85
0.183536,235,1063,4
0.105629,71,81,1
0.144224,148,3640,24
0.283592,63,101,1
0.132622,389,10100,25
0.297155,200,387,1
0.15226,76,84,1
0.22497,75,145,1
0.148607,1498,111287,74
0.25528,93,166,1
0.137734,399,33438,83
0.079512,499,11516,23
0.242085,159,1067,6
0.384217,136,236,1
0.083407,598,14894,24
0.178202,234,1905,8
0.342278,115,207,1
0.098169,702,20031,28
0.318705,114,212,1
0.365586,88,634,7
0.2613,4001,272800,68
0.320587,148,1836,12
0.249044,47,62,1
0.365,55,144,2
0.341667,58,184,3
0.318333,61,154,2
0.236667,63,160,2
0.306667,70,143,2
0.295,75,213,2
0.05,79,507,6
0.12,80,993,12
0.283333,80,262,3
0.388333,81,249,3
0.201667,83,182,2
0.213333,83,243,2
0.376667,84,250,2
0.131667,85,1173,13
0.248333,87,294,3
0.085,92,276,3
0.166667,92,253,2
0.353333,93,164,1
0.073333,99,320,3
0.26,102,131,1
0.33,112,508,4
0.271667,210,1093,5
0.178333,215,1588,7
0.108333,216,2704,12
0.19,217,3470,15
0.225,218,4357,19
0.096667,351,14627,41
0.143333,351,31223,88
0.23366,74,145,1
0.061667,851,47823,56
0.155,851,41373,48
0.143261,424,8791,20
0.221879,72,111,1
0.366314,220,3016,13
0.07263,280,6911,24
0.05991,500,167967,335
0.281624,54,100,1
0.380922,100,104,1
0.179667,73,235,3
0.352912,114,260,2
0.335566,99,160,1
0.262865,114,143,1
0.193168,104,418,4
0.080632,80,92,1
0.285313,105,193,1
0.087802,393,3913,9
0.200504,499,2979,5
0.290723,146,206,1
0.138984,58,330,5
0.394226,86,99,1
0.1688,153,253,1
0.067909,87,313,3
0.311272,65,94,1
0.365911,47,131,2
0.377982,61,97,1
0.301689,77,104,1
0.396346,65,96,1
0.190088,55,101,1
0.280788,139,254,1
0.121825,96,234,2
0.184656,4001,1260470,315
0.210543,4000,1062522,265
0.201667,44,86,1
0.166667,50,90,1
0.318333,54,94,1
0.353333,54,92,1
0.213333,59,238,4
0.306667,59,154,2
0.248333,60,133,2
0.236667,62,204,3
0.178333,64,417,6
0.085,66,456,6
0.376667,70,256,3
0.388333,72,171,2
0.155,73,573,7
0.365,73,210,2
0.073333,90,807,8
0.19,92,348,3
0.26,101,1205,11
0.33,116,194,1
0.295,121,1448,11
0.341667,122,696,5
0.283333,129,2528,19
0.143333,136,1208,8
0.271667,140,858,6
0.225,172,2828,16
0.061667,222,2220,10
0.096667,498,23273,46
0.108333,498,19852,39
0.12,498,36915,74
0.131667,498,43309,86
0.18324,310,12493,40
0.10842,181,529,2
0.05,998,271875,272
0.159577,499,18922,37
0.232632,1320,205466,155
0.052071,833,6337,7
0.244102,91,198,2
0.09361,21,26,1
0.091055,499,75701,151
0.308289,49,51,1
0.31018,201,2937,14
0.06541,295,5794,19
0.325852,337,16912,50
0.169972,204,2717,13
0.221612,837,34642,41
